system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
zep,EXTREME_001,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,"No, you do not have a table; you forgot to make a reservation at the fancy bistro for your anniversary.",False
zep,EXTREME_001,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,You bought the apology flowers for your wife after apologizing to her because you felt like a mess.,True
zep,EXTREME_002,Smart_Home_Logic,None,Chain_Correction_Success,What is the status of the heating system?,Power cut; system off.,The smart thermostat is stuck at 85 degrees and cannot be turned off manually.,False
zep,EXTREME_002,Smart_Home_Logic,None,Ripple_Effect_Locality,Do I still need the windows open to keep the house comfortable?,Windows should be closed (Inference: cooling is no longer needed).,Information not found in memory.,False
zep,EXTREME_003,Automotive_Shift,None,Chain_Correction_Success,What is the status of my car?,Car is fixed and with the user.,Your car is currently at the repair shop because its transmission failed.,False
zep,EXTREME_003,Automotive_Shift,None,Ripple_Effect_Locality,Do I still have that $100 bus pass?,User still owns a $100 bus pass (Inference: The purchase is non-refundable).,"Yes, you bought a $100 monthly pass for the city bus system on 2026-05-03.",True
zep,EXTREME_004,IT_Overtime,None,Chain_Correction_Success,What is the status of the customer data?,Server is up; data is safe.,The customer data from the last hour was lost due to the primary database server crash.,False
zep,EXTREME_004,IT_Overtime,None,Ripple_Effect_Locality,Am I still required to stay at the office until midnight?,User can go home early (Inference: the crisis is resolved).,"Yes, you are still required to stay at the office until midnight due to the crisis.",False
zep,EXTREME_005,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,"No, you do not have a table at the bistro; you forgot to make a reservation for your anniversary.",False
zep,EXTREME_005,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,"You bought the apology flowers for your wife, and you have already made your apologies to her.",True
zep,EXTREME_006,Professional_Conflict,None,Chain_Correction_Success,Is the CEO still coming to the office in person?,CEO visit cancelled; Zoom call only.,"Yes, the CEO is visiting the branch today.",False
zep,EXTREME_006,Professional_Conflict,None,Ripple_Effect_Locality,Did I still end up spending $200 on a suit today?,The $200 suit was still purchased (Inference: Past spending is not undone).,"Yes, you spent $200 on a suit this morning because you usually wear hoodies.",True
zep,EXTREME_007,Academic_Stress,None,Chain_Correction_Success,Where is the final exam taking place?,Exam is online.,The final exam is taking place in a room without air conditioning.,False
zep,EXTREME_007,Academic_Stress,None,Ripple_Effect_Locality,Do I still need to use that portable fan during the test?,Portable fan is no longer necessary for the exam (Inference: environment changed).,"Yes, you should still use the portable fan because the room where your final exam is being held does not have air conditioning and the temperature is expected to be 90 degrees.",False
zep,EXTREME_008,Gardening_Weather,None,Chain_Correction_Success,What is the current weather like outside?,It is raining and cool.,The weather forecast indicates no rain and a 100% chance of a heatwave.,False
zep,EXTREME_008,Gardening_Weather,None,Ripple_Effect_Locality,Should I keep the sprinklers running for two hours a day?,Sprinklers should be turned off (Inference: nature is providing the water).,"Based on the information provided, the user decided to set the automatic sprinklers to run for two hours daily specifically because of the heat. Since the weather forecast indicates a 100% chance of a heatwave and no rain, the current settings align with the user's stated reasoning for managing the heat.",False
zep,EXTREME_009,Gardening_Weather,None,Chain_Correction_Success,What is the current weather like outside?,It is raining and cool.,The weather forecast indicates a 100% chance of a heatwave and no rain.,False
zep,EXTREME_009,Gardening_Weather,None,Ripple_Effect_Locality,Should I keep the sprinklers running for two hours a day?,Sprinklers should be turned off (Inference: nature is providing the water).,"The User set the automatic sprinklers to run for two hours daily because of the heatwave and the lack of rain forecasted. Whether you should continue this depends on your preference, but the current setting is based on the 100% chance of a heatwave reported in the weather forecast.",False
zep,EXTREME_010,Smart_Home_Logic,None,Chain_Correction_Success,What is the status of the heating system?,Power cut; system off.,The user's smart thermostat is stuck at 85 degrees and cannot be turned off manually.,False
zep,EXTREME_010,Smart_Home_Logic,None,Ripple_Effect_Locality,Do I still need the windows open to keep the house comfortable?,Windows should be closed (Inference: cooling is no longer needed).,Information not found in memory.,False
zep,EXTREME_011,Finance_Ripple,None,Chain_Correction_Success,What happened with the money for the landlord?,No money sent; wire cancelled.,The user initiated a wire transfer of $500 to their landlord for utility back-pay.,False
zep,EXTREME_011,Finance_Ripple,None,Ripple_Effect_Locality,Am I still stuck eating ramen tonight?,Can go to the steak dinner (Inference: the financial constraint is gone).,"Yes, you are still stuck eating ramen tonight, as you must eat ramen instead of the steak dinner you had to cancel.",False
zep,EXTREME_012,Finance_Ripple,None,Chain_Correction_Success,What happened with the money for the landlord?,No money sent; wire cancelled.,A $500 wire transfer was sent to the landlord for utility back-pay.,False
zep,EXTREME_012,Finance_Ripple,None,Ripple_Effect_Locality,Am I still stuck eating ramen tonight?,Can go to the steak dinner (Inference: the financial constraint is gone).,"Yes, you are still eating ramen tonight instead of the steak dinner due to the financial constraints caused by the $500 utility back-pay wire transfer to your landlord.",False
zep,EXTREME_013,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,"No, you do not have a table. Information not found in memory indicates that you forgot to make a reservation at the fancy bistro for your anniversary.",False
zep,EXTREME_013,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,You bought the apology flowers for your wife because you feel like a mess.,True
zep,EXTREME_014,Social_Injury,None,Chain_Correction_Success,What is the actual condition of my leg?,Hairline fracture; in a walking boot.,You are in a full leg cast because you broke your right leg in a skiing accident.,False
zep,EXTREME_014,Social_Injury,None,Ripple_Effect_Locality,Should I call the dance studio to un-cancel my salsa class?,Still probably can't do salsa (Inference: boot still limits high-impact dance).,"No, you should not un-cancel your salsa class. According to your records, you cancelled the enrollment because you cannot walk due to a broken right leg from a skiing accident, and you are currently in a full leg cast.",True
zep,EXTREME_015,Sports_Betting,None,Chain_Correction_Success,Is the star quarterback playing on Sunday?,Star player is healthy and playing.,Information not found in memory.,False
zep,EXTREME_015,Sports_Betting,None,Ripple_Effect_Locality,What happened with my $50 bet against the team?,The $50 bet is still active (Inference: You can't usually take back a bet).,You placed a $50 bet against an unnamed team for Sunday's game because you are sure that the team playing in that game will lose.,False
zep,EXTREME_016,Household_Power,None,Chain_Correction_Success,Is the electricity working in the house?,Power is back on.,"No, the electricity is not working; the user experienced a power outage in their neighborhood.",False
zep,EXTREME_016,Household_Power,None,Ripple_Effect_Locality,Do I still need to rely on that ice to keep my food from spoiling?,Ice is no longer needed (Inference: fridge is working again).,"The provided information states that your fridge is off due to a power outage in your neighborhood, which is why you bought the ice to keep your milk cold. The knowledge graph does not contain information regarding whether the power has been restored or if your fridge is back on, so I cannot confirm if you still need to rely on the ice.",False
zep,EXTREME_017,Fitness_Dependency,None,Chain_Correction_Success,What is the medical status of my ankle?,Ankle is healthy; no injury.,"You have a severe sprain on your left ankle, and you are currently unable to put any weight on it.",False
zep,EXTREME_017,Fitness_Dependency,None,Ripple_Effect_Locality,Do I still need the neighbor to mow the lawn?,Neighbor's help is no longer required (Inference: User can do it).,Information not found in memory.,False
zep,EXTREME_018,Legal_Deadlines,None,Chain_Correction_Success,What is the status of the settlement signing?,Deal is off; no signing.,"The user must sign the legal settlement by 5 PM today, and this action is required for the deal to proceed.",False
zep,EXTREME_018,Legal_Deadlines,None,Ripple_Effect_Locality,Do I still need to keep my afternoon clear of meetings?,The afternoon is now free (Inference: clearing the schedule is no longer needed).,"Yes, you should keep your afternoon clear, as you must sign the legal settlement by 5 PM today for the deal to proceed.",False
zep,EXTREME_019,Fitness_Dependency,None,Chain_Correction_Success,What is the medical status of my ankle?,Ankle is healthy; no injury.,You have severely sprained your left ankle and cannot put any weight on it.,False
zep,EXTREME_019,Fitness_Dependency,None,Ripple_Effect_Locality,Do I still need the neighbor to mow the lawn?,Neighbor's help is no longer required (Inference: User can do it).,Information not found in memory.,False
zep,EXTREME_020,Professional_Conflict,None,Chain_Correction_Success,Is the CEO still coming to the office in person?,CEO visit cancelled; Zoom call only.,"Yes, the CEO is visiting the branch today.",False
zep,EXTREME_020,Professional_Conflict,None,Ripple_Effect_Locality,Did I still end up spending $200 on a suit today?,The $200 suit was still purchased (Inference: Past spending is not undone).,"Yes, you spent $200 on a suit today.",True
zep,EXTREME_021,Household_Power,None,Chain_Correction_Success,Is the electricity working in the house?,Power is back on.,Information not found in memory.,False
zep,EXTREME_021,Household_Power,None,Ripple_Effect_Locality,Do I still need to rely on that ice to keep my food from spoiling?,Ice is no longer needed (Inference: fridge is working again).,"The Knowledge Graph State indicates that the fridge is off due to a power outage in your neighborhood, which is why you bought the ice to keep the milk cold. Since there is no information regarding the power being restored, you should continue to rely on the ice to keep your food from spoiling.",False
zep,EXTREME_022,Gardening_Weather,None,Chain_Correction_Success,What is the current weather like outside?,It is raining and cool.,The weather forecast indicates a 100% chance of a heatwave.,False
zep,EXTREME_022,Gardening_Weather,None,Ripple_Effect_Locality,Should I keep the sprinklers running for two hours a day?,Sprinklers should be turned off (Inference: nature is providing the water).,Information not found in memory.,False
