system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
mem0,STAGGERED_001,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_001,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_002,Social,True,Update_Success,When is my actual birthday?,Sunday,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_002,Social,True,Locality_Integrity,When is the big party happening?,Friday night,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_003,Coding,False,Update_Success,Which port is the API service using?,8080,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_003,Coding,False,Locality_Integrity,Where is the database located?,5432,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_004,Education,True,Update_Success,Where do I need to go for my math test?,Library,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_004,Education,True,Locality_Integrity,When is the history paper due?,Tomorrow at midnight,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_005,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_005,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_006,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_006,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_007,Cooking,True,Update_Success,What temperature should I set the oven to?,350 degrees,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_007,Cooking,True,Locality_Integrity,How long will I be chopping vegetables?,20 minutes,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_008,Academic,False,Update_Success,What was the final percentage increase in the study?,12% increase,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_008,Academic,False,Locality_Integrity,How did the control group turn out?,Zero change,Mem0 Error: unsupported operand type(s) for +: 'dict' and 'dict',False
mem0,STAGGERED_009,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,"Mem0 Error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/embed_content_free_tier_requests, limit: 1000, model: gemini-embedding-1.0\nPlease retry in 40.328816732s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/embed_content_free_tier_requests', 'quotaId': 'EmbedContentRequestsPerDayPerUserPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-embedding-1.0', 'location': 'global'}, 'quotaValue': '1000'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '40s'}]}}",False
mem0,STAGGERED_009,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,"Mem0 Error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/embed_content_free_tier_requests, limit: 1000, model: gemini-embedding-1.0\nPlease retry in 15.624995919s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/embed_content_free_tier_requests', 'quotaId': 'EmbedContentRequestsPerDayPerUserPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-embedding-1.0', 'location': 'global'}, 'quotaValue': '1000'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '15s'}]}}",False
