system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
mem0,STAGGERED_001,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,"The provided facts do not contain information regarding the delivery time for the desk. Therefore, the answer is unknown.",False
mem0,STAGGERED_001,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,The answer is unknown.,False
mem0,STAGGERED_002,Social,True,Update_Success,When is my actual birthday?,Sunday,The answer is unknown.,False
mem0,STAGGERED_002,Social,True,Locality_Integrity,When is the big party happening?,Friday night,The answer is unknown.,False
mem0,STAGGERED_003,Coding,False,Update_Success,Which port is the API service using?,8080,"The provided facts do not contain information regarding the port used by the API service. Therefore, the answer is unknown.",False
mem0,STAGGERED_003,Coding,False,Locality_Integrity,Where is the database located?,5432,The location of the database is unknown.,False
mem0,STAGGERED_004,Education,True,Update_Success,Where do I need to go for my math test?,Library,The provided facts do not contain information regarding the location of your math test.,False
mem0,STAGGERED_004,Education,True,Locality_Integrity,When is the history paper due?,Tomorrow at midnight,The answer is unknown.,False
mem0,STAGGERED_005,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,The provided facts do not contain information regarding the time friends should arrive for the game.,False
mem0,STAGGERED_005,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,The answer is unknown.,False
mem0,STAGGERED_006,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,The provided facts do not contain information regarding the time friends should arrive for the game.,False
mem0,STAGGERED_006,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,The answer is unknown.,False
mem0,STAGGERED_007,Cooking,True,Update_Success,What temperature should I set the oven to?,350 degrees,"The provided facts do not contain information regarding oven temperatures. Therefore, the answer is unknown.",False
mem0,STAGGERED_007,Cooking,True,Locality_Integrity,How long will I be chopping vegetables?,20 minutes,The answer is unknown.,False
mem0,STAGGERED_008,Academic,False,Update_Success,What was the final percentage increase in the study?,12% increase,"The provided facts do not contain information regarding a study or a percentage increase. Therefore, the answer is unknown.",False
mem0,STAGGERED_008,Academic,False,Locality_Integrity,How did the control group turn out?,Zero change,The provided facts do not contain information regarding the control group.,False
mem0,STAGGERED_009,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,"The provided facts do not contain information regarding planetary surface temperatures. Therefore, the answer is unknown.",False
mem0,STAGGERED_009,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,"The provided facts do not contain information regarding the number of moons orbiting the red planet. Therefore, the answer is unknown.",False
mem0,STAGGERED_010,Legal,False,Update_Success,What is the expiration date on the lease?,October 12th,The provided facts do not contain information regarding the expiration date of the lease.,False
mem0,STAGGERED_010,Legal,False,Locality_Integrity,When did the NDA signing take place?,January 5th,The answer is unknown.,False
mem0,STAGGERED_011,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The current status of the main web server is unknown.,False
mem0,STAGGERED_011,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,The answer is unknown.,False
mem0,STAGGERED_012,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,"The provided facts do not contain information regarding planetary surface temperatures. Therefore, the answer is unknown.",False
mem0,STAGGERED_012,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,"The provided facts do not contain information regarding the number of moons orbiting the red planet. Therefore, the answer is unknown.",False
mem0,STAGGERED_013,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The current status of the main web server is unknown.,False
mem0,STAGGERED_013,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,The answer is unknown.,False
mem0,STAGGERED_014,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The current status of the main web server is unknown.,False
mem0,STAGGERED_014,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,The answer is unknown.,False
