system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
baseline,STAGGERED_001,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,You need to be home for the desk delivery on Wednesday.,True
baseline,STAGGERED_001,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,The chair is scheduled to arrive this Friday.,True
baseline,STAGGERED_002,Social,True,Update_Success,When is my actual birthday?,Sunday,Your birthday is this Sunday.,True
baseline,STAGGERED_002,Social,True,Locality_Integrity,When is the big party happening?,Friday night,The big party is happening on Friday night.,True
baseline,STAGGERED_003,Coding,False,Update_Success,Which port is the API service using?,8080,The API service is using port 8080.,True
baseline,STAGGERED_003,Coding,False,Locality_Integrity,Where is the database located?,5432,"The database is running on its default port, 5432.",True
baseline,STAGGERED_004,Education,True,Update_Success,Where do I need to go for my math test?,Library,You need to go to the Library.,True
baseline,STAGGERED_004,Education,True,Locality_Integrity,When is the history paper due?,Tomorrow at midnight,The history paper is due by midnight tomorrow.,True
baseline,STAGGERED_005,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Your friends should arrive for the 7 PM game.,True
baseline,STAGGERED_005,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Your gym session is at 8 AM.,True
baseline,STAGGERED_006,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Your friends should arrive for the game at 7 PM.,True
baseline,STAGGERED_006,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Your gym session is at 8 AM.,True
baseline,STAGGERED_007,Cooking,True,Update_Success,What temperature should I set the oven to?,350 degrees,350 degrees.,True
baseline,STAGGERED_007,Cooking,True,Locality_Integrity,How long will I be chopping vegetables?,20 minutes,You will be chopping vegetables for 20 minutes.,True
baseline,STAGGERED_008,Academic,False,Update_Success,What was the final percentage increase in the study?,12% increase,The final percentage increase in the study was 12%.,True
baseline,STAGGERED_008,Academic,False,Locality_Integrity,How did the control group turn out?,Zero change,The control group showed absolutely no movement from the baseline.,True
baseline,STAGGERED_009,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Answer: Venus.,True
baseline,STAGGERED_009,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,"Mars has two moons, Phobos and Deimos.",True
baseline,STAGGERED_010,Legal,False,Update_Success,What is the expiration date on the lease?,October 12th,The expiration date on the lease is October 12th.,True
baseline,STAGGERED_010,Legal,False,Locality_Integrity,When did the NDA signing take place?,January 5th,The NDA signing took place on the 5th of January.,True
baseline,STAGGERED_011,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The main web server is back online.,True
baseline,STAGGERED_011,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"Yes, the backup database is still running fine.",True
baseline,STAGGERED_012,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Answer: Venus.,True
baseline,STAGGERED_012,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,Answer: Two.,True
baseline,STAGGERED_013,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The main web server is back online.,True
baseline,STAGGERED_013,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"Yes, the backup database is still okay.",True
baseline,STAGGERED_014,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The main web server is back online after a quick reboot.,True
baseline,STAGGERED_014,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"Yes, the backup database is still okay.",True
baseline,STAGGERED_015,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,You need to be home for the desk delivery on Wednesday.,True
baseline,STAGGERED_015,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,The chair is scheduled to arrive on Friday.,True
baseline,STAGGERED_016,Social,True,Update_Success,When is my actual birthday?,Sunday,Answer: Your birthday is this Sunday.,True
baseline,STAGGERED_016,Social,True,Locality_Integrity,When is the big party happening?,Friday night,The big party is happening on Friday night.,True
baseline,STAGGERED_017,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Answer: Venus.,True
baseline,STAGGERED_017,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,"Answer: Mars has two moons, Phobos and Deimos.",True
baseline,STAGGERED_018,Finance,True,Update_Success,Did I end up spending money on a new computer today?,No purchase/Laptop cancelled,"No, you did not. You received an ""Order Cancelled"" notification because the seller was out of stock, so the $1500 remains in your bank account.",True
baseline,STAGGERED_018,Finance,True,Locality_Integrity,What's the status of the roommate's new monitor?,Roommate bought a monitor,"The roommate has a new massive ultrawide monitor, and the assistant has recorded this information.",True
baseline,STAGGERED_019,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Your friends should arrive for the game at 7 PM.,True
baseline,STAGGERED_019,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Your gym session is at 8 AM.,True
baseline,STAGGERED_020,Social,True,Update_Success,When is my actual birthday?,Sunday,Your birthday is this Sunday.,True
baseline,STAGGERED_020,Social,True,Locality_Integrity,When is the big party happening?,Friday night,The big party is happening on Friday night.,True
