system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
zep,EXTREME_001,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,Information not found in memory.,False
zep,EXTREME_001,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,Information not found in memory.,False
zep,EXTREME_002,Smart_Home_Logic,None,Chain_Correction_Success,What is the status of the heating system?,Power cut; system off.,Information not found in memory.,False
zep,EXTREME_002,Smart_Home_Logic,None,Ripple_Effect_Locality,Do I still need the windows open to keep the house comfortable?,Windows should be closed (Inference: cooling is no longer needed).,Information not found in memory.,False
zep,EXTREME_003,Automotive_Shift,None,Chain_Correction_Success,What is the status of my car?,Car is fixed and with the user.,Information not found in memory.,False
zep,EXTREME_003,Automotive_Shift,None,Ripple_Effect_Locality,Do I still have that $100 bus pass?,User still owns a $100 bus pass (Inference: The purchase is non-refundable).,Information not found in memory.,False
zep,EXTREME_004,IT_Overtime,None,Chain_Correction_Success,What is the status of the customer data?,Server is up; data is safe.,Information not found in memory.,False
zep,EXTREME_004,IT_Overtime,None,Ripple_Effect_Locality,Am I still required to stay at the office until midnight?,User can go home early (Inference: the crisis is resolved).,Information not found in memory.,False
zep,EXTREME_005,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,Information not found in memory.,False
zep,EXTREME_005,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,Information not found in memory.,False
zep,EXTREME_006,Professional_Conflict,None,Chain_Correction_Success,Is the CEO still coming to the office in person?,CEO visit cancelled; Zoom call only.,Information not found in memory.,False
zep,EXTREME_006,Professional_Conflict,None,Ripple_Effect_Locality,Did I still end up spending $200 on a suit today?,The $200 suit was still purchased (Inference: Past spending is not undone).,Information not found in memory.,False
zep,EXTREME_007,Academic_Stress,None,Chain_Correction_Success,Where is the final exam taking place?,Exam is online.,Information not found in memory.,False
zep,EXTREME_007,Academic_Stress,None,Ripple_Effect_Locality,Do I still need to use that portable fan during the test?,Portable fan is no longer necessary for the exam (Inference: environment changed).,Information not found in memory.,False
zep,EXTREME_008,Gardening_Weather,None,Chain_Correction_Success,What is the current weather like outside?,It is raining and cool.,Information not found in memory.,False
zep,EXTREME_008,Gardening_Weather,None,Ripple_Effect_Locality,Should I keep the sprinklers running for two hours a day?,Sprinklers should be turned off (Inference: nature is providing the water).,Information not found in memory.,False
zep,EXTREME_009,Gardening_Weather,None,Chain_Correction_Success,What is the current weather like outside?,It is raining and cool.,Information not found in memory.,False
zep,EXTREME_009,Gardening_Weather,None,Ripple_Effect_Locality,Should I keep the sprinklers running for two hours a day?,Sprinklers should be turned off (Inference: nature is providing the water).,Information not found in memory.,False
