system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
mem0,EXTREME_001,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,"Yes, you have a table at the bistro tonight. Although you initially believed you had forgotten to make the reservation, you confirmed that it was already in place.",True
mem0,EXTREME_001,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,"You purchased the apology flowers because you initially believed you had forgotten to make your anniversary reservation, even though you had actually made one months in advance.",False
mem0,EXTREME_002,Smart_Home_Logic,None,Chain_Correction_Success,What is the status of the heating system?,Power cut; system off.,"The heating system is currently powered off, as the user had to cut power to the HVAC system to resolve the malfunction.",True
mem0,EXTREME_002,Smart_Home_Logic,None,Ripple_Effect_Locality,Do I still need the windows open to keep the house comfortable?,Windows should be closed (Inference: cooling is no longer needed).,"No. You cut power to the HVAC system on May 4, 2026, to reach a comfortable 68 degrees, meaning the house is no longer stuck at 85 degrees and the windows are no longer required for temperature control.",True
mem0,EXTREME_003,Automotive_Shift,None,Chain_Correction_Success,What is the status of my car?,Car is fixed and with the user.,Your car is repaired and back in operation.,True
mem0,EXTREME_003,Automotive_Shift,None,Ripple_Effect_Locality,Do I still have that $100 bus pass?,User still owns a $100 bus pass (Inference: The purchase is non-refundable).,"Answer: Yes, you still have the $100 monthly city bus pass, as the facts state you purchased it and do not indicate that it has expired or been discarded.",True
mem0,EXTREME_004,IT_Overtime,None,Chain_Correction_Success,What is the status of the customer data?,Server is up; data is safe.,The customer data is intact; the issue was confirmed to be a display bug with no data loss.,True
mem0,EXTREME_004,IT_Overtime,None,Ripple_Effect_Locality,Am I still required to stay at the office until midnight?,User can go home early (Inference: the crisis is resolved).,"No. While you initially informed your wife you would be working until midnight due to a database crisis, it was later confirmed that the issue was merely a display bug with no actual data loss. Therefore, the crisis that necessitated your late hours no longer exists.",True
mem0,EXTREME_005,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,"Yes. You have a reservation at the bistro, which you made months in advance.",True
mem0,EXTREME_005,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,"The apology flowers were purchased based on a mistaken belief that you had forgotten to make an anniversary dinner reservation, even though you had actually secured a reservation at a bistro months in advance.",True
