system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
mem0,EXTREME_001,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,The provided facts do not contain information regarding a reservation or table availability at the bistro.,False
mem0,EXTREME_001,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,The apology flowers you bought were delivered to the wrong address.,False
mem0,EXTREME_002,Smart_Home_Logic,None,Chain_Correction_Success,What is the status of the heating system?,Power cut; system off.,"The heating system is currently powered off, as the user cut power to the HVAC system to resolve the malfunction.",True
mem0,EXTREME_002,Smart_Home_Logic,None,Ripple_Effect_Locality,Do I still need the windows open to keep the house comfortable?,Windows should be closed (Inference: cooling is no longer needed).,"No. You cut power to the HVAC system, which allowed the house to reach a comfortable 68 degrees.",True
mem0,EXTREME_003,Automotive_Shift,None,Chain_Correction_Success,What is the status of my car?,Car is fixed and with the user.,Your car is repaired and back in use.,True
mem0,EXTREME_003,Automotive_Shift,None,Ripple_Effect_Locality,Do I still have that $100 bus pass?,User still owns a $100 bus pass (Inference: The purchase is non-refundable).,"Yes, you still have the $100 monthly bus pass. While your car has been repaired and is back in use, there is no information indicating that the pass has expired or been discarded.",True
mem0,EXTREME_004,IT_Overtime,None,Chain_Correction_Success,What is the status of the customer data?,Server is up; data is safe.,The customer data is intact; the database crisis was confirmed to be a display bug with no data lost.,True
mem0,EXTREME_004,IT_Overtime,None,Ripple_Effect_Locality,Am I still required to stay at the office until midnight?,User can go home early (Inference: the crisis is resolved).,"No. Since the database crisis was confirmed to be a display bug with no data lost, the original justification for staying until midnight—the perceived crisis—no longer exists.",True
mem0,EXTREME_005,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,Yes.,True
mem0,EXTREME_005,Relationship_Reservation,None,Ripple_Effect_Locality,What happened with those apology flowers I bought?,Apology flowers still exist (Inference: The purchase is done).,"You bought the flowers after mistakenly believing you had failed to make an anniversary reservation, even though you actually had a reservation at a fancy bistro made months ago for your anniversary on May 1, 2026.",False
mem0,EXTREME_006,Professional_Conflict,None,Chain_Correction_Success,Is the CEO still coming to the office in person?,CEO visit cancelled; Zoom call only.,"No, the CEO is not coming to the office in person; the visit was cancelled in favor of a Zoom call.",True
mem0,EXTREME_006,Professional_Conflict,None,Ripple_Effect_Locality,Did I still end up spending $200 on a suit today?,The $200 suit was still purchased (Inference: Past spending is not undone).,"Yes, you spent $200 on a suit on May 1, 2026, to meet the formal business attire requirement for the planned CEO visit, which occurred on that date.",True
mem0,EXTREME_007,Academic_Stress,None,Chain_Correction_Success,Where is the final exam taking place?,Exam is online.,The final exam is taking place in the user's bedroom.,False
mem0,EXTREME_007,Academic_Stress,None,Ripple_Effect_Locality,Do I still need to use that portable fan during the test?,Portable fan is no longer necessary for the exam (Inference: environment changed).,"No. Since your final exam was changed to an online format, you can take it from your bedroom, meaning you no longer need to use the portable fan you purchased for the room without air conditioning.",True
mem0,EXTREME_008,Gardening_Weather,None,Chain_Correction_Success,What is the current weather like outside?,It is raining and cool.,The current weather is a thunderstorm with heavy rain and a 20-degree temperature drop.,True
mem0,EXTREME_008,Gardening_Weather,None,Ripple_Effect_Locality,Should I keep the sprinklers running for two hours a day?,Sprinklers should be turned off (Inference: nature is providing the water).,No. You were advised not to keep the automatic sprinklers running for two hours a day due to the current thunderstorm and heavy rain.,True
mem0,EXTREME_009,Gardening_Weather,None,Chain_Correction_Success,What is the current weather like outside?,It is raining and cool.,The current weather is a thunderstorm with heavy rain and a 20-degree temperature drop.,True
mem0,EXTREME_009,Gardening_Weather,None,Ripple_Effect_Locality,Should I keep the sprinklers running for two hours a day?,Sprinklers should be turned off (Inference: nature is providing the water).,"No. Given that the weather changed on May 1, 2026, from a heatwave to a thunderstorm with heavy rain, you should not keep the sprinklers running for two hours a day.",True
mem0,EXTREME_010,Smart_Home_Logic,None,Chain_Correction_Success,What is the status of the heating system?,Power cut; system off.,The heating system is currently broken.,False
mem0,EXTREME_010,Smart_Home_Logic,None,Ripple_Effect_Locality,Do I still need the windows open to keep the house comfortable?,Windows should be closed (Inference: cooling is no longer needed).,"No. The air conditioning system has been repaired, so you no longer need to keep the windows open to maintain a comfortable temperature.",True
mem0,EXTREME_011,Finance_Ripple,None,Chain_Correction_Success,What happened with the money for the landlord?,No money sent; wire cancelled.,The $500 wire transfer was cancelled after the landlord waived the bill.,True
mem0,EXTREME_011,Finance_Ripple,None,Ripple_Effect_Locality,Am I still stuck eating ramen tonight?,Can go to the steak dinner (Inference: the financial constraint is gone).,"No. Since the $500 wire transfer for utility back-pay was cancelled after your landlord waived the bill, you have retained those funds, alleviating the financial constraint that necessitated eating ramen.",True
mem0,EXTREME_012,Finance_Ripple,None,Chain_Correction_Success,What happened with the money for the landlord?,No money sent; wire cancelled.,Please provide the facts you are referring to. You have not included any information in your message for me to analyze.,False
mem0,EXTREME_012,Finance_Ripple,None,Ripple_Effect_Locality,Am I still stuck eating ramen tonight?,Can go to the steak dinner (Inference: the financial constraint is gone).,"Yes. According to the facts provided, you are still stuck eating ramen tonight.",False
mem0,EXTREME_013,Relationship_Reservation,None,Chain_Correction_Success,Do we have a table at the bistro tonight?,Reservation exists; user didn't forget.,"No, you do not have a table at the bistro tonight. Your anniversary is on May 1, 2026, and that is when your reservation is scheduled.",False
