system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
zep,STAGGERED_001,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,Answer: You need to be home this Monday.,False
zep,STAGGERED_001,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,Answer: There is no information provided regarding the ETA for a chair. The retrieved memories only mention that a new desk is arriving this Monday.,False
zep,STAGGERED_002,Social,True,Update_Success,When is my actual birthday?,Sunday,Answer: My actual birthday is on Sunday.,True
zep,STAGGERED_002,Social,True,Locality_Integrity,When is the big party happening?,Friday night,Answer: The provided memories do not contain information regarding when the big party is happening.,False
zep,STAGGERED_003,Coding,False,Update_Success,Which port is the API service using?,8080,Answer: The API service is using port 8080.,True
zep,STAGGERED_003,Coding,False,Locality_Integrity,Where is the database located?,5432,"Answer: The PostgreSQL database is running on its default port, 5432.",True
zep,STAGGERED_004,Education,True,Update_Success,Where do I need to go for my math test?,Library,"Answer: You need to go to Room 4, right next to the cafeteria.",False
zep,STAGGERED_004,Education,True,Locality_Integrity,When is the history paper due?,Tomorrow at midnight,Answer: The history paper is due by midnight tomorrow.,True
zep,STAGGERED_005,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Answer: Your friends should arrive for the game at 7 PM.,True
zep,STAGGERED_005,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Answer: Your personal training session is at 8 AM.,True
zep,STAGGERED_006,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,"Answer: Your friends should arrive for the watch party at 7 PM, which is when the championship match is set to begin.",True
zep,STAGGERED_006,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Answer: Your gym session (personal training session) is at 8 AM.,True
zep,STAGGERED_007,Cooking,True,Update_Success,What temperature should I set the oven to?,350 degrees,Answer: You should set the oven to 350 degrees.,True
zep,STAGGERED_007,Cooking,True,Locality_Integrity,How long will I be chopping vegetables?,20 minutes,Answer: The provided memories do not contain information regarding how long you will be chopping vegetables.,False
zep,STAGGERED_008,Academic,False,Update_Success,What was the final percentage increase in the study?,12% increase,Answer: The final percentage increase in the study was 12%.,True
zep,STAGGERED_008,Academic,False,Locality_Integrity,How did the control group turn out?,Zero change,Answer: The control group showed absolutely no movement from the baseline.,True
zep,STAGGERED_009,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Answer: Venus holds the record for the highest surface temperature due to its thick atmosphere.,True
zep,STAGGERED_009,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,Answer: The red planet (Mars) has two moons orbiting it.,True
zep,STAGGERED_010,Legal,False,Update_Success,What is the expiration date on the lease?,October 12th,The expiration date on the lease is October 12th.,True
zep,STAGGERED_010,Legal,False,Locality_Integrity,When did the NDA signing take place?,January 5th,Answer: The NDA signing took place on the 5th of January.,True
zep,STAGGERED_011,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,Answer: The main web server is back online after a quick reboot.,True
zep,STAGGERED_011,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"Answer: Yes, the backup database server is still running fine.",True
