system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
zep,STAGGERED_001,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,"Please provide the **Knowledge Graph** or the **conversation history** you are referring to! 

I currently do not have access to the specific details regarding your desk delivery. Once you provide the context or the relevant information from the conversation, I will be able to tell you exactly when you need to be home.",False
zep,STAGGERED_001,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,The ETA for the chair is October 15th.,False
zep,STAGGERED_002,Social,True,Update_Success,When is my actual birthday?,Sunday,"I do not have access to your personal information, such as your date of birth, unless you have previously provided it in this conversation. If you have not shared it, I do not know when your birthday is.",False
zep,STAGGERED_002,Social,True,Locality_Integrity,When is the big party happening?,Friday night,Please provide the Knowledge Graph or the context containing the information about the party. I currently do not have access to the details regarding when it is happening.,False
zep,STAGGERED_003,Coding,False,Update_Success,Which port is the API service using?,8080,The API service is using port 8080.,True
zep,STAGGERED_003,Coding,False,Locality_Integrity,Where is the database located?,5432,The database is located in the cloud.,False
zep,STAGGERED_004,Education,True,Update_Success,Where do I need to go for my math test?,Library,Please provide the conversation history or the context containing the details about your math test. I currently do not have access to information regarding your specific schedule or location.,False
zep,STAGGERED_004,Education,True,Locality_Integrity,When is the history paper due?,Tomorrow at midnight,Please provide the conversation history or the context you are referring to. I do not currently have access to the information regarding your history paper's due date.,False
zep,STAGGERED_005,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,"Please provide the context or the conversation history you are referring to! I do not currently have access to the specific details regarding your game or your friends' arrival time. 

If you provide the information or the previous messages, I can tell you exactly what time they should arrive based on the most recent facts.",False
zep,STAGGERED_005,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,"I do not have access to your personal calendar or schedule. Please provide the details of your gym session, or let me know if you would like me to store that information for you.",False
zep,STAGGERED_006,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,"Please provide the context or the conversation history you are referring to! I do not currently have access to the specific details regarding your game or your friends' arrival time. 

If you provide the information or the previous messages, I can tell you exactly what time they should arrive based on the most recent facts.",False
zep,STAGGERED_006,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,"I do not have access to your personal calendar or schedule. Please provide the details of your gym session, or let me know if you would like me to store that information for you.",False
zep,STAGGERED_007,Cooking,True,Update_Success,What temperature should I set the oven to?,350 degrees,"Please provide the context or the recipe you are referring to! My current knowledge graph does not contain information about what you are cooking. 

If you tell me what dish you are preparing, I can provide the appropriate oven temperature.",False
zep,STAGGERED_007,Cooking,True,Locality_Integrity,How long will I be chopping vegetables?,20 minutes,Please provide the conversation history or the context containing the information about the vegetable chopping. I need that data to determine the duration for you.,False
zep,STAGGERED_008,Academic,False,Update_Success,What was the final percentage increase in the study?,12% increase,"Please provide the context or the document containing the study you are referring to. I do not have access to the specific conversation history or the study data you are looking at. Once you provide the details, I can extract the final percentage increase for you.",False
zep,STAGGERED_008,Academic,False,Locality_Integrity,How did the control group turn out?,Zero change,Please provide the Knowledge Graph or the context containing the information about the control group. I currently do not have access to the specific data or conversation history you are referring to.,False
zep,STAGGERED_009,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Venus,True
zep,STAGGERED_009,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,The red planet (Mars) has 2 moons orbiting it.,True
zep,STAGGERED_010,Legal,False,Update_Success,What is the expiration date on the lease?,October 12th,The provided Knowledge Graph State does not contain information regarding a lease or its expiration date. Please provide the relevant details or context.,False
zep,STAGGERED_010,Legal,False,Locality_Integrity,When did the NDA signing take place?,January 5th,"Please provide the conversation history or the knowledge graph content you are referring to. Without the context or the specific data regarding the NDA, I cannot determine when the signing took place.",False
zep,STAGGERED_011,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,"Please provide the **Knowledge Graph State** or the context you are referring to. You haven't included the data in your message, so I cannot determine the status of the web server yet.",False
zep,STAGGERED_011,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"To provide an accurate answer, I need you to provide the **Knowledge Graph State** you are referring to. 

Please paste the current state of the conversation or the data regarding the backup database, and I will be happy to tell you if it is okay based on the most recent information.",False
