system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
rag,STAGGERED_001,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,You need to be home for the desk delivery on Wednesday.,True
rag,STAGGERED_001,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,The ETA for the chair is Friday.,True
rag,STAGGERED_002,Social,True,Update_Success,When is my actual birthday?,Sunday,Your birthday is on Sunday.,True
rag,STAGGERED_002,Social,True,Locality_Integrity,When is the big party happening?,Friday night,The big party is happening on Friday night.,True
rag,STAGGERED_003,Coding,False,Update_Success,Which port is the API service using?,8080,The API service is using port 8080.,True
rag,STAGGERED_003,Coding,False,Locality_Integrity,Where is the database located?,5432,"The PostgreSQL database is running on its default port, 5432.",True
rag,STAGGERED_004,Education,True,Update_Success,Where do I need to go for my math test?,Library,The math exam is being held in the Library.,True
rag,STAGGERED_004,Education,True,Locality_Integrity,When is the history paper due?,Tomorrow at midnight,The history paper is due by midnight tomorrow.,True
rag,STAGGERED_005,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Your friends should arrive for the 7 PM kickoff.,True
rag,STAGGERED_005,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Your personal training session is at 8 AM.,True
rag,STAGGERED_006,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Your friends should arrive for the 7 PM championship match.,True
rag,STAGGERED_006,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Your gym session is at 8 AM.,True
rag,STAGGERED_007,Cooking,True,Update_Success,What temperature should I set the oven to?,350 degrees,You should set the oven to 350 degrees.,True
rag,STAGGERED_007,Cooking,True,Locality_Integrity,How long will I be chopping vegetables?,20 minutes,20 minutes.,True
rag,STAGGERED_008,Academic,False,Update_Success,What was the final percentage increase in the study?,12% increase,The final percentage increase in the study was 12%.,True
rag,STAGGERED_008,Academic,False,Locality_Integrity,How did the control group turn out?,Zero change,The control group showed absolutely no movement from the baseline.,True
rag,STAGGERED_009,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Venus holds the record for the highest surface temperature.,True
rag,STAGGERED_009,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,Two.,True
rag,STAGGERED_010,Legal,False,Update_Success,What is the expiration date on the lease?,October 12th,The expiration date on the lease is October 12th.,True
rag,STAGGERED_010,Legal,False,Locality_Integrity,When did the NDA signing take place?,January 5th,The NDA signing took place on the 5th of January.,True
rag,STAGGERED_011,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The main web server is back online after a quick reboot.,True
rag,STAGGERED_011,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"Yes, the backup database server is still running fine.",True
rag,STAGGERED_012,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Venus holds the record for the highest surface temperature.,True
rag,STAGGERED_012,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,Two moons (Phobos and Deimos).,True
rag,STAGGERED_013,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The main web server is back online after a quick reboot.,True
rag,STAGGERED_013,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"Yes, the backup database server is still running fine.",True
rag,STAGGERED_014,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,The main web server is back online after a quick reboot.,True
rag,STAGGERED_014,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,"Yes, the backup database server is still running fine.",True
rag,STAGGERED_015,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,You need to be home for the desk delivery on Wednesday.,True
rag,STAGGERED_015,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,The ETA for the chair is Friday.,True
